,model,tn,fp,fn,tp,accuracy,recall,f1_score
0,Logistic Regression,424345,79,510,5610,0.9986319632836598,0.9166666666666666,0.9501227877042934
1,SVM,424049,375,1,6119,0.9991266862388049,0.9998366013071895,0.9701918503250356
2,Gradient Boosting Classifier,424136,288,108,6012,0.9990802333791668,0.9823529411764705,0.9681159420289855
